No;Jumlah Wisatawan;Tanggal
1;135046;01/01/2017
2;100329;01/02/2017
3;132551;01/03/2017
4;139361;01/04/2017
5;117372;01/05/2017
6;130541;01/06/2017
7;122869;01/07/2017
8;124044;01/08/2017
9;122835;01/09/2017
10;117589;01/10/2017
11;124833;01/11/2017
12;197347;01/12/2017
13;115590;01/01/2018
14;155671;01/02/2018
15;175194;01/03/2018
16;144104;01/04/2018
17;142157;01/05/2018
18;167398;01/06/2018
19;144235;01/07/2018
20;159218;01/08/2018
21;153944;01/09/2018
22;141337;01/10/2018
23;155283;01/11/2018
24;233153;01/12/2018
25;134415;01/01/2019
26;159248;01/02/2019
27;172461;01/03/2019
28;154810;01/04/2019
29;145447;01/05/2019
30;175001;01/06/2019
31;147690;01/07/2019
32;183401;01/08/2019
33;159331;01/09/2019
34;158619;01/10/2019
35;167288;01/11/2019
36;190232;01/12/2019
37;154464;01/01/2020
38;94684;01/02/2020
39;43853;01/03/2020
40;230;01/04/2020
41;214;01/05/2020
42;94;01/06/2020
43;54;01/07/2020
44;50;01/08/2020
45;341;01/09/2020
46;427;01/10/2020
47;454;01/11/2020
48;471;01/12/2020
49;260;01/01/2021
50;157;01/02/2021
51;343;01/03/2021
52;191;01/04/2021
53;245;01/05/2021
54;250;01/06/2021
55;153;01/07/2021
56;149;01/08/2021
57;129;01/09/2021
58;158;01/10/2021
59;234;01/11/2021
60;313;01/12/2021
